EmployeeID,Gender,Age,AgeBand,MaritalStatus,Education,Department,JobRole,JobLevel,OfficeLocation,EmploymentType,HireDate,IsActive
E00001,Female,40,40-49,Single,PhD,IT,Software Engineer,5,Delhi,Full-Time,2021-05-02,True
E00002,Female,35,30-39,Divorced,PhD,IT,Software Engineer,2,Remote,Full-Time,2021-03-29,True
E00003,Female,31,30-39,Married,Master,Sales,Sales Executive,3,Delhi,Full-Time,2020-11-08,True
E00004,Female,28,Under 30,Married,Master,Customer Support,Escalation Specialist,3,Chennai,Full-Time,2024-06-21,True
E00005,Male,27,Under 30,Married,Diploma,Customer Support,Escalation Specialist,2,Delhi,Full-Time,2025-10-22,True
E00006,Female,41,40-49,Married,Bachelor,Sales,Business Development,6,Bengaluru,Full-Time,2025-02-14,True
E00007,Female,38,30-39,Married,PhD,Finance,Credit Analyst,5,Remote,Full-Time,2020-02-07,True
E00008,Female,26,Under 30,Married,Master,Customer Support,Support Lead,2,Delhi,Full-Time,2020-05-17,False
E00009,Male,34,30-39,Married,Diploma,Customer Support,Support Lead,1,Mumbai,Full-Time,2022-12-27,False
E00010,Female,45,40-49,Married,Diploma,Sales,Business Development,7,Chennai,Full-Time,2021-05-09,True
E00011,Female,46,40-49,Married,Master,Operations,Operations Analyst,7,Mumbai,Full-Time,2022-07-02,True
E00012,Male,24,Under 30,Married,Bachelor,Customer Support,Support Lead,1,Remote,Contract,2025-10-31,True
E00013,Male,34,30-39,Married,High School,Operations,Operations Analyst,3,Chennai,Contract,2023-05-28,True
E00014,Male,33,30-39,Single,PhD,Finance,Credit Analyst,6,Mumbai,Full-Time,2024-06-22,True
E00015,Female,25,Under 30,Married,Master,Customer Support,Support Agent,1,Bengaluru,Part-Time,2025-10-18,False
E00016,Male,28,Under 30,Married,Bachelor,Human Resources,HR Analyst,3,Hyderabad,Full-Time,2025-03-30,False
E00017,Male,36,30-39,Married,PhD,Research & Development,Data Scientist,5,Bengaluru,Full-Time,2022-01-17,True
E00018,Female,29,Under 30,Married,High School,Finance,Accountant,1,Bengaluru,Full-Time,2021-06-27,True
E00019,Female,29,Under 30,Single,PhD,Human Resources,Recruiter,1,Chennai,Part-Time,2023-07-12,True
E00020,Male,37,30-39,Married,PhD,IT,IT Support,3,Remote,Full-Time,2023-12-05,True
E00021,Male,34,30-39,Married,Master,Operations,Logistics Coordinator,1,Bengaluru,Full-Time,2022-10-27,True
E00022,Female,23,Under 30,Single,PhD,Marketing,Content Writer,1,Mumbai,Full-Time,2020-03-24,False
E00023,Female,31,30-39,Married,Diploma,Operations,Logistics Coordinator,2,Mumbai,Full-Time,2023-12-29,False
E00024,Female,31,30-39,Married,PhD,Finance,Credit Analyst,3,Remote,Full-Time,2020-04-05,True
E00025,Female,30,30-39,Married,Bachelor,Finance,Financial Analyst,3,Mumbai,Full-Time,2023-07-24,True
E00026,Female,32,30-39,Single,High School,Operations,Operations Analyst,2,Bengaluru,Full-Time,2023-02-03,True
E00027,Male,28,Under 30,Married,PhD,Sales,Sales Executive,3,Bengaluru,Full-Time,2025-11-13,True
E00028,Female,35,30-39,Married,PhD,Research & Development,Data Scientist,3,Remote,Full-Time,2020-07-01,True
E00029,Female,29,Under 30,Divorced,Bachelor,Human Resources,Recruiter,2,Chennai,Full-Time,2022-02-16,True
E00030,Female,31,30-39,Single,Bachelor,Sales,Sales Executive,1,Mumbai,Full-Time,2021-11-30,True
